HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5,Class
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4885282167795305,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15,2
0,0,0,1,1,0,0,0,3793,1,0,0.4885282167795305,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15,2
0,0,0,1,1,0,0,0,3793,1,0,0.4885282167795305,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15,2
0,0,0,1,1,0,0,0,3793,1,0,0.4885282167795305,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15,2
0,0,0,1,1,0,0,0,3793,1,0,0.4885282167795305,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15,2
0,0,0,1,1,0,0,0,3793,1,0,0.3315636067398636,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.0,790.48,0.0,0.0,0.0,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.3315636067398636,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.0,790.48,0.0,0.0,0.0,0.0,2
0,0,0,1,1,0,0,0,2980,1,3,0.4666133576826337,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07,2
0,0,0,1,1,0,0,0,2980,1,3,0.4666133576826337,0.46009976740358294,0.4494325676346799,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07,2
0,0,0,1,1,0,0,0,2980,1,3,0.4666133576826337,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07,2
0,0,0,1,1,0,0,0,2980,1,3,0.4666133576826337,0.46009976740358294,0.4494325676346799,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07,2
0,0,0,1,1,0,0,0,2980,1,3,0.4666133576826337,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351,2
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.433096288933873,0.4720347377135553,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015,2
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015,2
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015,2
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015,2
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015,2
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.46009976740358294,0.4494325676346799,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4720347377135553,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.46009976740358294,0.4797595807872594,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952,2
0,1,0,0,1,0,0,0,3359,1,0,0.7262664423393274,0.4363542536982371,0.4189173936367839,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0,9148.25,0.0,0.0,0.0,0
