HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.8326525206377898,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,17700.02351
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.433096288933873,0.4720347377135553,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015
0,0,0,1,1,0,0,0,2980,1,1,0.7420105299634054,0.460099767403583,0.4494325676346799,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,10086.89015
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4720347377135553,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,0,0,1,1,0,0,0,2980,1,1,0.7895778385497914,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,13549.32952
0,1,0,0,1,0,0,0,3359,1,0,0.7262664423393274,0.436354253698237,0.41891739363678393,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0,9148.25,0.0,0.0,0.0
0,1,0,0,1,0,0,0,3359,1,0,0.7149874409244641,0.436354253698237,0.41891739363678393,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0,8530.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,3874,1,1,0.6724247733569575,0.5284180950039782,0.5182494058607149,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,6550.470765
0,0,0,1,0,0,1,0,3981,0,3,0.8051738651485014,0.46704513122223673,0.48716161906391503,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14925.818330000002,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,0,1,0,3030,0,1,0.5335706159529956,0.421039835449441,0.4079271715465964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,2767.948509
0,0,0,1,0,0,1,0,3030,0,1,0.5335706159529956,0.421039835449441,0.3954510911788228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,2767.948509
0,0,1,0,1,0,0,0,4191,0,1,0.6095434474758845,0.6146373610615498,0.6025578954691515,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,4434.569542
0,0,1,1,0,0,0,0,4191,0,1,0.6095434474758845,0.5118724373326939,0.4876141366014436,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0.0,0.0,0.0,0.0,0.0,4434.569542
0,0,0,0,1,0,1,0,3317,1,2,0.6259850034379978,0.64434945091262,0.6263914583706099,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,4910.773735,0.0,0.0,0.0,0.0
1,0,0,0,0,1,0,0,4103,0,2,0.5401686272704388,0.4779272813971111,0.4839612129663905,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,2883.6
0,0,0,0,1,0,1,0,4144,1,1,0.4772320678231768,0.37225551775946375,0.39620980976725506,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1951.484734
0,0,0,0,1,0,0,1,3323,1,1,0.4300524468382649,0.5151183018054466,0.4911932587275681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1456.294437,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,3323,1,1,0.41736061353674453,0.5151183018054466,0.4911932587275681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1346.02649,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,3323,1,1,0.4088818117385703,0.5151183018054466,0.4911932587275681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1277.0537789999996,0.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,3032,1,1,0.7572848670951615,0.5322912486303972,0.5603481280404381,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,11089.47306,0.0,0.0,0.0,0.0
0,0,0,0,2,0,0,0,2104,1,3,0.818338549448579,0.6209061643056818,0.6314797035684099,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,16195.99882,0.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,2615,1,3,0.5902340608493882,0.45826430847888866,0.47545587474873213,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.0,3933.926344,0.0,0.0,0.0
0,0,0,1,1,0,0,0,2935,0,2,0.656689238286328,0.5923751052714864,0.5859795068965122,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,5941.228955,0.0,0.0,0.0,0.0
1,0,0,1,0,0,0,0,3236,1,3,0.69301115785791,0.3546823991261884,0.37534330596782106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,7442.834659,0.0,0.0,0.0
1,0,0,1,0,0,0,0,3236,0,3,0.69301115785791,0.4274199390694499,0.3954510911788228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,7442.834659,0.0,0.0,0.0
0,0,0,1,0,1,0,0,2862,0,1,0.33070527106253766,0.33098200710651804,0.4079271715465964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,786.281892,0.0,0.0,0.0,0.0
0,0,0,0,1,1,0,0,2862,1,1,0.3290286361763276,0.39411225222475754,0.4079271715465964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,778.145696,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,0,1,0,2326,0,1,0.5314823451841978,0.5317680968739338,0.5120597625270021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2732.320136,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,4052,1,1,0.3932383742916485,0.388836305890315,0.5793732038319112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1158.940397,0.0,0.0,0.0,0.0,0.0
0,0,0,0,1,0,1,0,2748,1,4,0.7363988678523421,0.60441820930117,0.5903350825063721,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,9741.768392
0,0,0,1,1,0,0,0,3625,1,3,0.5882885089360154,0.43043654394139236,0.4402273532863391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3886.729595,0.0,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,4050,1,4,0.6830704903754518,0.4700215792234269,0.4402273532863391,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,6997.6988569999985,0.0,0.0,0.0,0.0
