Flight date,Accountid,enqid,product,brokercountry,owner,Grossprofit
2017-02-10 00:00:00,15,2624,Tour Ops,Italy,EMEAZZ,3704.469128
2017-08-28 00:00:00,343,2625,CJ,United Kingdom,CGRANT,2508.301002
2017-05-31 00:00:00,352,2626,CJ,United Kingdom,JCAVAL,33212.938486
2017-06-07 00:00:00,352,2627,CJ,United Kingdom,JCAVAL,243754.625911
2017-01-31 00:00:00,592,2628,Tour Ops,Austria,BEGGER,18419.175537
2017-07-19 00:00:00,535,2629,CJ,United Kingdom,WTAYLO,36033.076446
2017-06-19 00:00:00,707,2630,CJ,United Kingdom,NCOOPE,2751.845648
2017-03-12 00:00:00,412,2631,CJ,Italy,EMEAZZ,1295.784381
2017-06-24 00:00:00,749,2632,Tour Ops,Austria,BEGGER,1148.344882
2017-07-01 00:00:00,749,2633,Tour Ops,Austria,BEGGER,1381.804618
2017-07-08 00:00:00,749,2634,Tour Ops,Austria,BEGGER,842.815765
2017-01-31 00:00:00,357,2635,CJ,Germany,IMUTLU,6605.921608
2017-01-31 00:00:00,502,2636,Tour Ops,Austria,BEGGER,69843.470182
2017-04-09 00:00:00,760,2637,CJ,Italy,AALTAM,3495.0328259999997
2017-05-29 00:00:00,760,2638,CJ,Italy,AALTAM,6043.391506
2017-03-18 00:00:00,663,2639,CJ,Italy,CLEGRO,1489.2881830000001
2017-01-31 00:00:00,825,2640,CJ,Austria,BEGGER,1499.214395
2017-01-31 00:00:00,357,2641,CJ,Germany,IMUTLU,15992.684575
2017-01-31 00:00:00,357,2642,CJ,Germany,IMUTLU,470.72985300000005
2017-09-09 00:00:00,66,2643,CJ,France,DHOPFG,593.32604
2017-04-03 00:00:00,166,2644,CJ,Italy,DROSA,4527.617485
2017-02-06 00:00:00,33,2645,CJ,Italy,CLEGRO,2411.091019
2017-06-14 00:00:00,339,2646,CJ,Germany,AMOLL,19551.997265
2017-02-20 00:00:00,822,2647,CJ,United Kingdom,LBARBE,0.0
2017-02-20 00:00:00,813,2648,CJ,United Kingdom,LBARBE,0.0
2017-02-20 00:00:00,443,2649,CJ,United Kingdom,LBARBE,0.0
2017-02-20 00:00:00,799,2650,CJ,United Kingdom,LBARBE,0.0
2017-03-23 00:00:00,20,2651,CJ,Germany,MHERTH,1935.0380089999999
2017-02-17 00:00:00,743,2652,CJ,United Kingdom,MHOLT,7271.08
2016-12-01 00:00:00,170,2653,CJ,France,DHOPFG,433.726578
2017-06-04 00:00:00,409,2654,Tour Ops,Italy,ABETTO,1158.155845
2017-09-28 00:00:00,600,2655,CJ,France,TELFAS,4729.6710729999995
2017-06-11 00:00:00,662,2656,Tour Ops,France,TELFAS,1904.866991
2017-06-18 00:00:00,409,2657,Tour Ops,Italy,ABETTO,4124.061246
2017-06-25 00:00:00,409,2658,Tour Ops,Italy,ABETTO,2839.252418
2017-07-02 00:00:00,409,2659,Tour Ops,Italy,ABETTO,4606.082684
2017-07-09 00:00:00,409,2660,Tour Ops,Italy,ABETTO,4857.430002
2017-07-16 00:00:00,409,2661,Tour Ops,Italy,ABETTO,4560.159747
2017-07-23 00:00:00,409,2662,Tour Ops,Italy,ABETTO,3531.870446
2017-07-30 00:00:00,409,2663,Tour Ops,Italy,ABETTO,3256.218731
2017-08-06 00:00:00,409,2664,Tour Ops,Italy,ABETTO,3121.091812
2017-08-13 00:00:00,409,2665,Tour Ops,Italy,ABETTO,3080.769232
2017-08-20 00:00:00,409,2666,Tour Ops,Italy,ABETTO,2925.239278
2017-08-27 00:00:00,409,2667,Tour Ops,Italy,ABETTO,3341.403759
2017-09-03 00:00:00,409,2668,Tour Ops,Italy,ABETTO,2884.728302
2017-09-10 00:00:00,409,2669,Tour Ops,Italy,ABETTO,3925.0547060000004
2017-09-17 00:00:00,409,2670,Tour Ops,Italy,ABETTO,9149.115611
2017-02-25 00:00:00,720,2671,CJ,Italy,EMEAZZ,430.551967
2017-06-11 00:00:00,409,2672,CJ,Italy,ABETTO,5244.538533
2017-06-18 00:00:00,409,2673,Tour Ops,Italy,ABETTO,3359.9948670000003
2017-06-25 00:00:00,409,2674,CJ,Italy,ABETTO,3464.801984
2017-07-02 00:00:00,409,2675,Tour Ops,Italy,ABETTO,3795.400685
2017-07-09 00:00:00,409,2676,CJ,Italy,ABETTO,4344.615115
2017-07-16 00:00:00,409,2677,Tour Ops,Italy,ABETTO,4331.835338
2017-07-23 00:00:00,409,2678,Tour Ops,Italy,ABETTO,3556.991135
2017-07-30 00:00:00,409,2679,Tour Ops,Italy,ABETTO,4185.5788649999995
2017-08-06 00:00:00,409,2680,Tour Ops,Italy,ABETTO,4110.439562
2017-08-13 00:00:00,409,2681,Tour Ops,Italy,ABETTO,3212.5398800000003
2017-08-20 00:00:00,409,2682,Tour Ops,Italy,ABETTO,3074.131514
2017-08-27 00:00:00,409,2683,Tour Ops,Italy,ABETTO,3085.067352
2017-09-03 00:00:00,409,2684,Tour Ops,Italy,ABETTO,3243.6542670000003
2017-09-10 00:00:00,409,2685,Tour Ops,Italy,ABETTO,12249.288841
2017-04-08 00:00:00,767,2686,Tour Ops,France,TELFAS,2176.874569
2017-04-15 00:00:00,767,2687,Tour Ops,France,TELFAS,2158.940913
2017-04-22 00:00:00,767,2688,Tour Ops,France,TELFAS,2318.063235
2017-04-29 00:00:00,767,2689,Tour Ops,France,TELFAS,4069.168971
2017-09-22 00:00:00,146,2690,CJ,Germany,SDROBJ,6514.4693689999995
2017-04-01 00:00:00,688,2691,Tour Ops,France,TELFAS,982.152732
2017-05-19 00:00:00,172,2692,CJ,Germany,ASEYLE,16498.099599
2017-03-18 00:00:00,637,2693,CJ,Italy,ALONGH,5855.131307
2017-06-05 00:00:00,760,2694,CJ,Italy,AALTAM,951.210336
2017-02-10 00:00:00,593,2695,CJ,Germany,IMUTLU,10537.032993
2017-04-10 00:00:00,564,2696,CJ,France,KRIGHI,6431.936767
2017-03-16 00:00:00,396,2697,CJ,Austria,MTRULL,4643.486524
2017-04-06 00:00:00,396,2698,CJ,Austria,MTRULL,25040.169314
2017-04-09 00:00:00,540,2699,Tour Ops,France,TELFAS,2371.898757
2017-04-16 00:00:00,540,2700,Tour Ops,France,TELFAS,2277.436075
2017-02-09 00:00:00,351,2701,CJ,USA,JSILVA,10106.053484
2017-02-23 00:00:00,154,2702,CJ,Italy,CLEGRO,1860.39783
2017-04-06 00:00:00,540,2703,Tour Ops,France,TELFAS,3568.0459590000005
2017-04-13 00:00:00,540,2704,Tour Ops,France,TELFAS,3747.071529
2017-04-20 00:00:00,540,2705,Tour Ops,France,TELFAS,3344.704564
2017-04-27 00:00:00,540,2706,Tour Ops,France,TELFAS,2220.2228760000003
2017-02-27 00:00:00,637,2707,CJ,Italy,ALONGH,3524.0764689999996
2017-03-24 00:00:00,657,2708,CJ,United Kingdom,DTUGWE,2941.46
2017-06-10 00:00:00,513,2709,Tour Ops,Italy,ABETTO,2096.612778
2017-06-17 00:00:00,513,2710,Tour Ops,Italy,ABETTO,2140.00513
2017-06-24 00:00:00,513,2711,Tour Ops,Italy,ABETTO,2111.076897
2017-07-01 00:00:00,513,2712,Tour Ops,Italy,ABETTO,2151.452647
2017-07-08 00:00:00,513,2713,Tour Ops,Italy,ABETTO,2118.5377
2017-07-15 00:00:00,513,2714,Tour Ops,Italy,ABETTO,2118.537698
2017-07-22 00:00:00,513,2715,Tour Ops,Italy,ABETTO,2118.537701
2017-07-29 00:00:00,513,2716,Tour Ops,Italy,ABETTO,2118.537699
2017-08-05 00:00:00,513,2717,Tour Ops,Italy,ABETTO,2139.0021269999997
2017-08-12 00:00:00,513,2718,Tour Ops,Italy,ABETTO,2075.992557
2017-08-19 00:00:00,513,2719,Tour Ops,Italy,ABETTO,2075.992557
2017-08-26 00:00:00,513,2720,Tour Ops,Italy,ABETTO,2075.017726
2017-09-02 00:00:00,513,2721,Tour Ops,Italy,ABETTO,2135.804159
2017-09-09 00:00:00,513,2722,Tour Ops,Italy,ABETTO,2133.8895
2017-06-10 00:00:00,513,2723,Tour Ops,Italy,ABETTO,822.341973
2017-06-17 00:00:00,513,2724,Tour Ops,Italy,ABETTO,722.6071360000001
2017-06-24 00:00:00,513,2725,Tour Ops,Italy,ABETTO,739.004364
2017-07-01 00:00:00,513,2726,Tour Ops,Italy,ABETTO,562.9421580000001
2017-07-08 00:00:00,513,2727,Tour Ops,Italy,ABETTO,547.423857
2017-07-15 00:00:00,513,2728,Tour Ops,Italy,ABETTO,551.988063
2017-07-22 00:00:00,513,2729,Tour Ops,Italy,ABETTO,494.8916
2017-07-29 00:00:00,513,2730,Tour Ops,Italy,ABETTO,462.18730800000003
2017-08-05 00:00:00,513,2731,Tour Ops,Italy,ABETTO,643.442041
2017-08-12 00:00:00,513,2732,Tour Ops,Italy,ABETTO,435.98014900000004
2017-08-19 00:00:00,513,2733,Tour Ops,Italy,ABETTO,632.4707549999999
2017-08-26 00:00:00,513,2734,Tour Ops,Italy,ABETTO,496.313364
2017-09-02 00:00:00,513,2735,Tour Ops,Italy,ABETTO,898.595915
2017-09-09 00:00:00,513,2736,Tour Ops,Italy,ABETTO,674.197666
2017-06-13 00:00:00,513,2737,Tour Ops,Italy,ABETTO,2367.333844
2017-06-20 00:00:00,513,2738,Tour Ops,Italy,ABETTO,2418.19348
2017-06-27 00:00:00,513,2739,Tour Ops,Italy,ABETTO,2041.750064
2017-07-04 00:00:00,513,2740,Tour Ops,Italy,ABETTO,2767.216709
2017-07-11 00:00:00,513,2741,Tour Ops,Italy,ABETTO,2387.1236719999997
2017-07-18 00:00:00,513,2742,Tour Ops,Italy,ABETTO,2421.9169660000002
2017-07-25 00:00:00,513,2743,Tour Ops,Italy,ABETTO,2387.1236719999997
2017-08-01 00:00:00,513,2744,Tour Ops,Italy,ABETTO,2410.182559
2017-08-08 00:00:00,513,2745,Tour Ops,Italy,ABETTO,2341.855727
2017-08-15 00:00:00,513,2746,Tour Ops,Italy,ABETTO,2341.8557260000002
2017-08-22 00:00:00,513,2747,Tour Ops,Italy,ABETTO,2341.8557260000002
2017-08-29 00:00:00,513,2748,Tour Ops,Italy,ABETTO,2341.8557260000002
2017-09-05 00:00:00,513,2749,Tour Ops,Italy,ABETTO,2409.327135
2017-09-21 00:00:00,793,2750,Tour Ops,Germany,CJUDIC,16958.424507
2017-03-29 00:00:00,455,2751,CJ,Italy,CLEGRO,2738.994472
2017-04-09 00:00:00,662,2752,Tour Ops,France,TELFAS,1801.520386
2017-04-16 00:00:00,662,2753,Tour Ops,France,TELFAS,729.93262
2017-04-23 00:00:00,662,2754,Tour Ops,France,TELFAS,487.335867
2017-04-30 00:00:00,662,2755,Tour Ops,France,TELFAS,602.33241
2017-05-07 00:00:00,662,2756,Tour Ops,France,TELFAS,538.450241
2017-05-14 00:00:00,662,2757,Tour Ops,France,TELFAS,539.054939
2017-05-21 00:00:00,662,2758,Tour Ops,France,TELFAS,551.399445
2017-05-28 00:00:00,662,2759,Tour Ops,France,TELFAS,895.585693
2017-06-04 00:00:00,662,2760,Tour Ops,France,TELFAS,424.497479
2017-06-11 00:00:00,662,2761,Tour Ops,France,TELFAS,711.658544
2017-06-18 00:00:00,662,2762,Tour Ops,France,TELFAS,725.515355
2017-06-25 00:00:00,662,2763,Tour Ops,France,TELFAS,622.513047
2017-07-02 00:00:00,662,2764,Tour Ops,France,TELFAS,997.498464
2017-07-09 00:00:00,662,2765,Tour Ops,France,TELFAS,894.575618
2017-07-16 00:00:00,662,2766,Tour Ops,France,TELFAS,750.434478
2017-07-23 00:00:00,662,2767,Tour Ops,France,TELFAS,804.704644
2017-07-30 00:00:00,662,2768,Tour Ops,France,TELFAS,832.3005360000001
2017-08-06 00:00:00,662,2769,Tour Ops,France,TELFAS,788.878058
2017-08-13 00:00:00,662,2770,Tour Ops,France,TELFAS,614.13506
2017-08-20 00:00:00,662,2771,Tour Ops,France,TELFAS,531.6820280000001
2017-08-27 00:00:00,662,2772,Tour Ops,France,TELFAS,577.0737330000001
2017-09-03 00:00:00,662,2773,Tour Ops,France,TELFAS,579.394602
